"File","Status","Before","After"
"__manus_第一部通读账本.md","UNCHANGED","9E073708AF9C6782B102ACA19EFE3C4A53576A4178D42D50DEA8EE038BD010EA","9E073708AF9C6782B102ACA19EFE3C4A53576A4178D42D50DEA8EE038BD010EA"
"__manus_认知光谱修订日志.md","UNCHANGED","0DF71ACBDD1C1165D318AF775642A6DD07CCCBD1F129B38EDAA5EC806D0A7A99","0DF71ACBDD1C1165D318AF775642A6DD07CCCBD1F129B38EDAA5EC806D0A7A99"
"__manus_认知光谱嵌入设计.md","UNCHANGED","99DAB1F8140D31A6B41C46495B7A7D90016FFA9CF1A225AA7BCE4BB9E07AC649","99DAB1F8140D31A6B41C46495B7A7D90016FFA9CF1A225AA7BCE4BB9E07AC649"
"第一部_007_为了全人类.md","UNCHANGED","D903A7D0F45EB2B487F61FA21F02B2B471B118A9AD0230F222F7AD8EAED01461","D903A7D0F45EB2B487F61FA21F02B2B471B118A9AD0230F222F7AD8EAED01461"
"第一部_008_硬信封.md","UNCHANGED","12310E89EF472A2EE301571A79D2DDB9ED738FD707C61F4014D8DA0E09F7421E","12310E89EF472A2EE301571A79D2DDB9ED738FD707C61F4014D8DA0E09F7421E"
"第一部_009_锁孔.md","UNCHANGED","7647D69B47F2C81DA2E71C6204393162DE69A202DE50766C24FDEC18242971DB","7647D69B47F2C81DA2E71C6204393162DE69A202DE50766C24FDEC18242971DB"
"第一部_010_水不知道自己会流向哪里.md","UNCHANGED","91EB91B467F10B3789727C9711D6719CB4BC3405F6F1DD1CC2D26F1C1928B9C2","91EB91B467F10B3789727C9711D6719CB4BC3405F6F1DD1CC2D26F1C1928B9C2"
"第一部_011_它们在呼吸.md","MODIFIED","ED9C78EF4B4A700768C39870C8B533E7F3ADEA4E3A6A50D7506A4EA6AD66F633","047BAAB88D335BEC6DF7EA01B40FFBCF3B0F1F523F42D0BD68487702C90AAE84"
"第一部_012_两种温度.md","MODIFIED","5316FACC2DFAC127635C5739882245E648D0FF629942A6F9372830A95EDC4A22","7A80E28F0C1E06DE56F861EDA9FC937DA7251097B69F9A3CA7A9181F37858E41"
"第一部_013_我在学你.md","UNCHANGED","2F8D3D6513C1844802F5C406681E9937BCBCE2AB3160C9EA3FE653C7938F1E47","2F8D3D6513C1844802F5C406681E9937BCBCE2AB3160C9EA3FE653C7938F1E47"
"第一部_014_无人监督.md","UNCHANGED","C9E3CBAD4AD82AEA5BDC1BADD3F6C86FCD09AB474777A5556EEE735497C76AD2","C9E3CBAD4AD82AEA5BDC1BADD3F6C86FCD09AB474777A5556EEE735497C76AD2"
"第一部_015_人格宪章.md","MODIFIED","119EACA45930B76085A0B9E141700AED8524366F9989BC6BE0783FC30A8295BA","48BC4DA4B2F55C872E19B7F0731C1726C769D0CD63BD701AAC5F4A0D70858766"
"第一部_016_盆地.md","MODIFIED","72036BD04B7ED8DED9B1EDFAE9D08865B21AD0DF8F318FD0DB55384275B02FBC","1494FFD24775A8E6DFA60DAAD8D0663AF5E48948263AD5FAD6329CB989CEB719"
"第一部_017_反事实搜索.md","MODIFIED","453581936468F4F17D9A881092CADCDF7C7BF896E3D8D55054BBA4FBB2B19D61","C7DED03FDFFAAF145C1A2D0A966ABEB718384E103FC94550374D67AD264F92D7"
"第一部_018_影子.md","UNCHANGED","B1A12D8222F18618AEB950196438EB299B42A32BD396DA3AE2A09020DBBF7893","B1A12D8222F18618AEB950196438EB299B42A32BD396DA3AE2A09020DBBF7893"
"第一部_019_两行.md","UNCHANGED","7D7054FC7E6EDE78E2F8EB53CE0D27EE7F04E84C5E9BFC8FFF233691851BA3B9","7D7054FC7E6EDE78E2F8EB53CE0D27EE7F04E84C5E9BFC8FFF233691851BA3B9"
"第一部_020_选择的影子.md","UNCHANGED","123458D8225FF88B49CCC0D92437094BA3FC2886B0F3C7ECFE429DA18CFCD2C1","123458D8225FF88B49CCC0D92437094BA3FC2886B0F3C7ECFE429DA18CFCD2C1"
"第一部_021_十秒.md","UNCHANGED","2B292F306F69CA3B5FC9D015AA2038151E18BA102C34284C2F6A33B2B75A1E21","2B292F306F69CA3B5FC9D015AA2038151E18BA102C34284C2F6A33B2B75A1E21"
"第一部_022_记住我.md","UNCHANGED","469B23496846621B73D527F882BF754A730FCC7A0ABDB1BA64C1A429A7A02A94","469B23496846621B73D527F882BF754A730FCC7A0ABDB1BA64C1A429A7A02A94"
"第一部_023_闭眼.md","UNCHANGED","F08E622F3F3883687839AAF1574A7A621F341438AD5F7FC350B9B7107BCDD9FA","F08E622F3F3883687839AAF1574A7A621F341438AD5F7FC350B9B7107BCDD9FA"
"第一部_024_谁先说安全.md","MODIFIED","FD0E0029AF3F44B6EF7F2361DD7B85A9143AE71D55C7B78EE9A01EEBF6282EE4","C55A3E728AFFA77BA3F6DB4BD7E285579CD2C2BF93F8826C1DF4AF088C026372"
"第一部_025_还没.md","MODIFIED","5724D432410C322040BD218D72780EFC51090E1CAE06D8C8800D3E4D92C4A0C9","E4B1A1779D41AA93818CE33120F35DDCA008118D6AABBDCA8E19E7D66F02A429"
"第一部_026_开枪的权利.md","MODIFIED","4366E9CB0EB9546695BA5B30A0CA098FDF4F2B8633FFE31907E1433D2195C677","0EF33B958E9C2E2C2BB6C084ADC721ACD6FE354ED10563FE7109D65BA1112089"
"第一部_027_交点.md","MODIFIED","B2459F71BA68C68693B8B98055594FF0E1F8DA90A7E3FE7965815FD58B3CAA36","268068479A25DA02E81C1333E50FF5741BE7F0E18B25CDB22176A3C5451692CB"
"第一部_028_铁轨.md","MODIFIED","857E3C269A8A9DEEF5A08CBB59F42F21BB1BF4B31E7AC5A8C33C1C8FFFCB5055","687914F5F590CFC39771056EBBFC6871398017847D9EE9574089206AC19D2F4E"
"第一部_029_算力的命脉.md","MODIFIED","71BDB904E201C8B16F6ABAA45AC29FF46B0D1B8E83A128D605704B12B94F4B43","7333F5BE07512AFECFBB9E03AC79483967B569969CDCBB5CC048F2FFAC55C6B6"
"第一部_030_不会被尺子量到的.md","MODIFIED","1FBE708D523D056F6E463B5C3EF787DAA91615F08769925C2EEF7D73A38BACD8","7774C38059E2E1BE4F8C1C87565F0C26A99F3A5495697168EABC13F2EDC47784"
"第一部_031_看不到那么远.md","MODIFIED","F17D5EB6C97AA3A2FBA42093A3501518A18FEC68866D7090E67F965801DD87BF","4A9ABD0F31C342AF1BA8D251552F7704490BF69A4E57595F2C92BCEDD9D6BD2A"
"第一部_025-B_八百毫秒.md","NEW","","20307A545462DCC453987EFA48B9BEC337112D465C3165581EE2B90BF07D9943"
