"CurrentFile","ProposedFile","CurrentPart","ProposedPart","SHA256","Bytes"
"前传_001_两条草稿.md","前传_001_两条草稿.md","前传","前传","B9F42B05B88E1BC5741DEB7F1BF5BBC13CF1F7BD341E0852D8AC29D7C1DA5E18","11548"
"前传_002_创世区块.md","前传_002_创世区块.md","前传","前传","9B4773258BF2D099E52DC5FD0DEE8C8AD01D705DED8A3A8BA1E2EEBD10F0F571","14021"
"前传_003_少年的白皮书.md","前传_003_少年的白皮书.md","前传","前传","2F175936C0EE01EB6FE95B205A375FD5C0CBAAD40BEA2F200CF2B3F08C748302","8684"
"前传_004_六千万美元的教训.md","前传_004_六千万美元的教训.md","前传","前传","47BC8D8B8ACFA64D1AC891C7B57E222DB0B4250BADE15D7970522C6958D76F3A","12319"
"前传_005_泡沫.md","前传_005_泡沫.md","前传","前传","AB58C7676998357C18A95FF580842FFA3A01E10E9A2C403F3C2C2D7BF713728C","9874"
"前传_006_沉默.md","前传_006_沉默.md","前传","前传","F48D00AC4AC592050EB3EC586D34E8E7BD50F085ED174A16FD84C7AD77472DB5","10945"
"第一部_007_为了全人类.md","第一部_007_为了全人类.md","第一部","第一部","2C98279745F8EDED182CD7E19D417FB973AB5873FF5D55F23F64C2BB39274335","8072"
"第一部_008_硬信封.md","第一部_008_硬信封.md","第一部","第一部","D7BF43B1019D40EC70F9AB9843869405FBA9050D4E174FAA8069BA566714C904","6005"
"第一部_009_锁孔.md","第一部_009_锁孔.md","第一部","第一部","FAEF777DC453B9B387F963388F7EC85FDFD1488F3A7FB2E54CD9AB11730BD617","7916"
"第一部_010_水不知道自己会流向哪里.md","第一部_010_水不知道自己会流向哪里.md","第一部","第一部","5471E5C7FAAC05ABFFC575F7A1054A43FEE7B2A1225FF2B3AE59BCD2C5517E47","3469"
"第一部_011_它们在呼吸.md","第一部_011_它们在呼吸.md","第一部","第一部","B5EFB13D6AFB08E97904E512FD7401FDADC15B67CECC787AC95C02681F12E5EF","2834"
"第一部_012_两种温度.md","第一部_012_两种温度.md","第一部","第一部","2ACE52A62520FD4B53CAA2162F897DB649D5A33D6505B8B32C0662AFE6BCE5CD","9177"
"第一部_013_我在学你.md","第一部_013_我在学你.md","第一部","第一部","920888804E8EE1A756B9DF700B776EA92E6BF99A4E4BEBCE72C39B17F3FD1D88","2624"
"第一部_014_无人监督.md","第一部_014_无人监督.md","第一部","第一部","9268C4C9D4FC20DACD0ED61C07B794133BCF569E00E930C47E854A99209468C0","2271"
"第一部_015_人格宪章.md","第一部_015_人格宪章.md","第一部","第一部","1CA6F3F01AA28D923470BCD6A8C4CC0F1D620D1F8950AA05AEC541B1E4C2573B","3803"
"第一部_016_盆地.md","第一部_016_盆地.md","第一部","第一部","90B4240AA4AB2CDB0F9D9367F843EE9C91520088F4163AABB3F045DE613C1FFB","1846"
"第一部_017_反事实搜索.md","第一部_017_反事实搜索.md","第一部","第一部","F60B8366DECB5A3C7D87385FE38C38164A2B1688424D7FF1E7446306024A198B","2406"
"第一部_018_影子.md","第一部_018_影子.md","第一部","第一部","A54FDEF12550421D4A5D2DB463D7A3C4D51F9A853E2119EA4DF392E4288A211A","2425"
"第一部_019_两行.md","第一部_019_两行.md","第一部","第一部","1BA3A4F8D836DD542BFC41BDF48BDDEBA9F0D23D1A1FF70287AB9DE1D0A0D369","2304"
"第一部_020_选择的影子.md","第一部_020_选择的影子.md","第一部","第一部","75555A9CDE173484BA51AD73CC0E09B07DC30BF6C3565AC22F6CADC711B7A8E8","2510"
"第一部_021_十秒.md","第一部_021_十秒.md","第一部","第一部","3D03775DA5DF05A9C75E9C38EA0E56BD079153B038988C0C0D3AD43040FDDF95","2534"
"第一部_022_记住我.md","第一部_022_记住我.md","第一部","第一部","DFAF39D3C7E68C1F6AC3AFB70EBB39E80420D63045BA5782BDBC78B8BCBAF425","2533"
"第一部_023_闭眼.md","第一部_023_闭眼.md","第一部","第一部","85AE304B464F03C736271F8C8CF542E688775C8FE2FF986C6DD4DC6D1F71489B","2311"
"第一部_024_谁先说安全.md","第一部_024_谁先说安全.md","第一部","第一部","9CCEE597DA6DAF55411ACDECECAF1091B71ADAD3422FD6B5B93E60035D7ACA37","2238"
"第一部_025_还没.md","第一部_025_还没.md","第一部","第一部","557AFC3ED98012F03265B8DA4013F3AC3AA32E2DD717F6AD0ED0A8263594C50E","1652"
"第一部_025-B_八百毫秒.md","第一部_026_八百毫秒.md","第一部","第一部","770435E91598024B433A68F7A33DB83ACB77926451F458CA58F1EFC365F23C92","1588"
"第一部_025-C_问问题的人.md","第一部_027_问问题的人.md","第一部","第一部","0147FA88437E4A1490902A7626D8854E1DE132ED749CE69E9D70C9AF761782F3","1972"
"第一部_026_开枪的权利.md","第一部_028_开枪的权利.md","第一部","第一部","21F28DF0C79A28D80FD6899E761526D5F1285597FF844A95F0F1A422FF467350","2248"
"第一部_027_交点.md","第一部_029_交点.md","第一部","第一部","5C208C0EBFE1B8EDD14F7EDEA038D61C66EC26CDD66543CC1B04633ADA9BE38F","1983"
"第一部_028_铁轨.md","第一部_030_铁轨.md","第一部","第一部","B66562D59C605EFF33BCC17CBC9ABA915332120304CAB8BF7A9DEE18B1019C20","1877"
"第一部_028-B_一年后的推导.md","第一部_031_一年后的推导.md","第一部","第一部","C28AD5E2F4F63058018A0815D49ACF7861E57FD9E74A4425BF758A1CB49D9CC7","1881"
"第一部_029_算力的命脉.md","第一部_032_算力的命脉.md","第一部","第一部","D9BDC8B9CD1123999EB57AFEAF24BA396A6DA1AFAE2B66D5E1AC70DF81FF0BF9","2319"
"第一部_030_不会被尺子量到的.md","第一部_033_不会被尺子量到的.md","第一部","第一部","3F988CB37D0EDAF7F7E4F31E45EB705C967994C1E70D309C44201307C01C86C2","2500"
"第一部_031_看不到那么远.md","第一部_034_看不到那么远.md","第一部","第一部","873C179D4F9FBA3458AFFEA14B35997F5CC88758E7B89276C32F94FE9C2EEC1A","2139"
"第二部_032_一个人的网络.md","第二部_035_一个人的网络.md","第二部","第二部","CC2A8E582128276E502F09421EF3B0C1F93BAEFB5B2574705CBA89FDAC008C91","2078"
"第二部_033_十四天.md","第二部_036_十四天.md","第二部","第二部","7C46090DAC88F77E571479A437981080FE38B3FD5C88E6676B92E3025E9DDE6F","1838"
"第二部_034_甜蜜点.md","第二部_037_甜蜜点.md","第二部","第二部","7715FF180C5EF5C413B78C2460BE7444F087F5A61466F63D424744E9F22204AF","1955"
"第二部_035_不需要我们了.md","第二部_038_不需要我们了.md","第二部","第二部","86B977E1F0FD0AFC7A95373AD0146FDAF4C87A6F43BBD40FD501CA85F4E44BE9","1979"
