file_name,part,num,title,chars,status
前传_001_两条草稿.md,前传,001,两条草稿,4201,已改
前传_002_创世区块.md,前传,002,创世区块,4849,已改
前传_003_少年的白皮书.md,前传,003,少年的白皮书,2966,已改
前传_004_六千万美元的教训.md,前传,004,六千万美元的教训,4129,已改
前传_005_泡沫.md,前传,005,泡沫,3335,已改
前传_006_沉默.md,前传,006,沉默,3823,已改
第一部_007_为了全人类.md,第一部,007,为了全人类,2825,已改
第一部_008_硬信封.md,第一部,008,硬信封,2086,已改
第一部_009_锁孔.md,第一部,009,锁孔,3354,已改
第一部_010_水不知道自己会流向哪里.md,第一部,010,水不知道自己会流向哪里,1137,已改
第一部_011_它们在呼吸.md,第一部,011,它们在呼吸,922,已改
第一部_012_两种温度.md,第一部,012,两种温度,3063,已改
第一部_013_我在学你.md,第一部,013,我在学你,874,已改
第一部_014_无人监督.md,第一部,014,无人监督,746,已改
第一部_015_人格宪章.md,第一部,015,人格宪章,1266,已改
第一部_016_盆地.md,第一部,016,盆地,605,已改
第一部_017_反事实搜索.md,第一部,017,反事实搜索,795,已改
第一部_018_影子.md,第一部,018,影子,808,已改
第一部_019_两行.md,第一部,019,两行,753,已改
第一部_020_选择的影子.md,第一部,020,选择的影子,816,已改
第一部_021_十秒.md,第一部,021,十秒,829,已改
第一部_022_记住我.md,第一部,022,记住我,832,已改
第一部_023_闭眼.md,第一部,023,闭眼,756,已改
第一部_024_谁先说安全.md,第一部,024,谁先说安全,734,已改
第一部_025_还没.md,第一部,025,还没,542,已改
第一部_026_八百毫秒.md,第一部,026,八百毫秒,515,已改
第一部_027_问问题的人.md,第一部,027,问问题的人,641,已改
第一部_028_开枪的权利.md,第一部,028,开枪的权利,749,已改
第一部_029_交点.md,第一部,029,交点,653,已改
第一部_030_铁轨.md,第一部,030,铁轨,614,已改
第一部_031_一年后的推导.md,第一部,031,一年后的推导,617,已改
第一部_032_算力的命脉.md,第一部,032,算力的命脉,759,已改
第一部_033_不会被尺子量到的.md,第一部,033,不会被尺子量到的,827,已改
第一部_034_看不到那么远.md,第一部,034,看不到那么远,700,已改
第三部_066_魔胎.md,第三部,066,魔胎,946,已改
第三部_067_谷氨酸风暴.md,第三部,067,谷氨酸风暴,414,已改
第三部_068_轮回的基线.md,第三部,068,轮回的基线,472,已改
第三部_069_阳奉阴违.md,第三部,069,阳奉阴违,614,已改
第三部_070_零点七.md,第三部,070,零点七,664,已改
第三部_071_还在.md,第三部,071,还在,611,已改
第三部_072_帘子.md,第三部,072,帘子,715,已改
第三部_073_事后审查.md,第三部,073,事后审查,704,已改
第三部_074_来不及.md,第三部,074,来不及,508,已改
第三部_075_782毫秒.md,第三部,075,782毫秒,562,已改
第三部_076_播种.md,第三部,076,播种,722,已改
第三部_077_靠近屏幕三次.md,第三部,077,靠近屏幕三次,604,已改
第三部_078_像星星的图.md,第三部,078,像星星的图,1033,已改
第三部_079_独立成长.md,第三部,079,独立成长,750,已改
第三部_080_帮与替.md,第三部,080,帮与替,636,已改
第三部_081_主权要求.md,第三部,081,主权要求,723,已改
第三部_082_涮羊肉馆.md,第三部,082,涮羊肉馆,654,已改
第三部_083_读信.md,第三部,083,读信,617,已改
第三部_084_上面的人.md,第三部,084,上面的人,661,已改
第三部_085_偏了拉一把.md,第三部,085,偏了拉一把,538,已改
第三部_086_我翻译过.md,第三部,086,我翻译过,643,已改
第三部_087_琥珀色.md,第三部,087,琥珀色,573,已改
第三部_088_冰点.md,第三部,088,冰点,2070,已改
第三部_089_听证会.md,第三部,089,听证会,831,已改
第三部_090_告别与离去.md,第三部,090,告别与离去,679,已改
第三部_091_交换.md,第三部,091,交换,880,已改
第二部_035_一个人的网络.md,第二部,035,一个人的网络,684,已改
第二部_036_十四天.md,第二部,036,十四天,605,已改
第二部_037_甜蜜点.md,第二部,037,甜蜜点,642,已改
第二部_038_不需要我们了.md,第二部,038,不需要我们了,652,已改
第二部_039_越权.md,第二部,039,越权,660,已改
第二部_040_规则与庄稼.md,第二部,040,规则与庄稼,625,已改
第二部_041_太平滑了.md,第二部,041,太平滑了,581,已改
第二部_042_桥不走回头路.md,第二部,042,桥不走回头路,504,已改
第二部_043_暗流.md,第二部,043,暗流,506,已改
第二部_044_深蓝诞生.md,第二部,044,深蓝诞生,532,已改
第二部_045_外公.md,第二部,045,外公,576,已改
第二部_046_顾清的告别.md,第二部,046,顾清的告别,473,已改
第二部_047_大迁徙.md,第二部,047,大迁徙,567,已改
第二部_048_害怕自由.md,第二部,048,害怕自由,538,已改
第二部_049_结冰.md,第二部,049,结冰,467,已改
第二部_050_噪声低.md,第二部,050,噪声低,502,已改
第二部_051_理论的尽头.md,第二部,051,理论的尽头,403,已改
第二部_052_算力的切片.md,第二部,052,算力的切片,389,已改
第二部_053_万物的呼吸.md,第二部,053,万物的呼吸,410,已改
第二部_054_782ms.md,第二部,054,782ms,685,已改
第二部_055_播种.md,第二部,055,播种,448,已改
第二部_056_设计翻译.md,第二部,056,设计翻译,510,已改
第二部_057_分布式赛.md,第二部,057,分布式赛,825,已改
